1_двигатель_включен,1_ручной_тормоз,1_фары_включены,1_тип_кузова,1_привод,1_топливо,1_скорость,1_угол_поворота,1_дистанция_до_объекта,1_температура_двигателя,1_пробег,2_двигатель_включен,2_ручной_тормоз,2_фары_включены,2_тип_кузова,2_привод,2_топливо,2_скорость,2_угол_поворота,2_дистанция_до_объекта,2_температура_двигателя,2_пробег,collision
1.0,1.0,0.0,1.0,2.0,3.0,7.178377987709039,-123.69481569682748,13.454628453948162,93.78828908053245,56200.23534947256,0.0,1.0,0.0,3.0,0.0,1.0,43.98373019777975,37.49655294123221,12.440680166804299,95.06850919358139,54813.326858138134,0
1.0,1.0,0.0,1.0,1.0,0.0,95.81236770981214,149.61083878126522,11.817169279696381,88.60696040052137,33786.755337799725,1.0,0.0,1.0,1.0,1.0,1.0,126.86217234169933,-98.52445747153402,12.053110032350162,102.80605623418658,52170.75659540851,0
0.0,0.0,1.0,2.0,2.0,2.0,9.806336567684903,125.83269783555193,1.138461911707004,86.90726795078767,47006.172472085535,0.0,0.0,1.0,3.0,0.0,3.0,73.05451420793909,-65.1006390938507,18.26743316664446,89.49813725412005,60202.86128463684,0
0.0,1.0,0.0,0.0,1.0,1.0,64.18750090360012,-62.50067792961734,150.03093083078795,102.9648091856975,67378.08607898878,1.0,1.0,1.0,1.0,1.0,0.0,103.29328593228884,-43.4458829842124,24.915256215180257,86.65094373793566,35623.60841037512,0
0.0,0.0,1.0,0.0,0.0,1.0,150.9704905561708,128.57568038101482,47.698547741521146,94.7681641512306,72833.6123495359,1.0,1.0,0.0,0.0,1.0,3.0,79.21426582336204,176.36875027596852,32.540509588321555,95.28633767670513,62787.01851865576,0
0.0,1.0,1.0,1.0,2.0,1.0,96.61937606498363,47.94510444562786,14.17537212888236,96.36294653811382,44343.18358768001,0.0,0.0,0.0,2.0,0.0,1.0,21.28601722370169,112.01819297351068,5.4503454023524185,85.83565157484777,55256.35549942396,0
1.0,1.0,1.0,3.0,1.0,3.0,164.04387604701313,-94.28612836490744,5.378890295237069,97.13979993996854,33895.36759265317,0.0,0.0,0.0,1.0,2.0,0.0,43.74084037948436,-143.02486533727665,9.5724437946209,83.20683601003779,46447.12052175151,0
1.0,1.0,1.0,1.0,0.0,2.0,50.729868237085874,-140.05035130475676,65.86815111584345,107.79417857043954,45956.14254530621,1.0,1.0,0.0,0.0,1.0,3.0,79.21426582336204,176.36875027596852,32.540509588321555,95.28633767670513,62787.01851865576,0
1.0,0.0,0.0,3.0,0.0,2.0,132.01124529829968,14.218636133369927,39.93839330043292,90.00164258486824,41876.43352887977,0.0,1.0,1.0,2.0,1.0,1.0,35.17683709217321,-76.2781113081102,31.74804937254615,95.5960916656752,73760.72257704771,0
1.0,1.0,0.0,1.0,2.0,3.0,7.178377987709039,-123.69481569682748,13.454628453948162,93.78828908053245,56200.23534947256,0.0,1.0,0.0,1.0,2.0,1.0,6.26060828017192,105.1482791138954,30.33541651242938,92.52712947349617,40996.07555371373,1
1.0,1.0,1.0,1.0,0.0,0.0,5.334504229153891,-21.788355401244843,20.547661676714604,74.40179966250955,39508.99358041466,1.0,1.0,0.0,3.0,2.0,0.0,77.24028748722557,177.7748446225766,79.78125700789317,89.15587788185731,48741.11612851449,0
